Country_ID;Year;Eco-Innovation-Index
AT;2013;137.27
AT;2014;144.8
AT;2015;147.84
AT;2016;145.08
AT;2017;148.9
AT;2018;153.12
AT;2019;156.52
AT;2020;159.63
AT;2021;157.23
AT;2022;173.86
BE;2013;75.91
BE;2014;82.88
BE;2015;82.24
BE;2016;87.39
BE;2017;88.05
BE;2018;90.53
BE;2019;91.15
BE;2020;93.37
BE;2021;94.35
BE;2022;99.78
BG;2013;25.18
BG;2014;29.42
BG;2015;31.65
BG;2016;29.52
BG;2017;30.6
BG;2018;36.94
BG;2019;39.13
BG;2020;44.41
BG;2021;55.85
BG;2022;57.73
HR;2013;64.16
HR;2014;71.37
HR;2015;72.68
HR;2016;73.3
HR;2017;73.92
HR;2018;75.74
HR;2019;79.01
HR;2020;83.27
HR;2021;86.1
HR;2022;88.81
CY;2013;68.3
CY;2014;68.16
CY;2015;65.39
CY;2016;70.31
CY;2017;73.7
CY;2018;73.62
CY;2019;85.98
CY;2020;78.23
CY;2021;93.26
CY;2022;94.65
CZ;2013;92.61
CZ;2014;93.46
CZ;2015;97.91
CZ;2016;103.23
CZ;2017;98.85
CZ;2018;100.39
CZ;2019;103.65
CZ;2020;104.86
CZ;2021;109.86
CZ;2022;110.98
DK;2013;151.84
DK;2014;159.14
DK;2015;158.3
DK;2016;155.34
DK;2017;158.41
DK;2018;156.5
DK;2019;157.4
DK;2020;164.11
DK;2021;160.93
DK;2022;167.49
EE;2013;98.59
EE;2014;89.93
EE;2015;96.53
EE;2016;98.32
EE;2017;109.5
EE;2018;98.79
EE;2019;98.65
EE;2020;106.8
EE;2021;111.65
EE;2022;115.52
FI;2013;168.67
FI;2014;176.61
FI;2015;176.7
FI;2016;180.02
FI;2017;181.55
FI;2018;169.91
FI;2019;169.41
FI;2020;170.55
FI;2021;170.89
FI;2022;178.01
FR;2013;109.58
FR;2014;109.07
FR;2015;111.89
FR;2016;113.62
FR;2017;117.72
FR;2018;116.09
FR;2019;122.33
FR;2020;125.06
FR;2021;124.64
FR;2022;130.65
DE;2013;109.83
DE;2014;113.43
DE;2015;115.9
DE;2016;120.16
DE;2017;121.85
DE;2018;123.16
DE;2019;128.37
DE;2020;130.93
DE;2021;135.76
DE;2022;141.18
EL;2013;55.94
EL;2014;60.59
EL;2015;70.3
EL;2016;69.1
EL;2017;76.62
EL;2018;73.1
EL;2019;92.07
EL;2020;85.77
EL;2021;93.32
EL;2022;101.59
HU;2013;52.64
HU;2014;60.33
HU;2015;77.62
HU;2016;58.92
HU;2017;58.93
HU;2018;64.79
HU;2019;63.97
HU;2020;65.21
HU;2021;69.56
HU;2022;81.15
IE;2013;77.28
IE;2014;78.38
IE;2015;82.84
IE;2016;87.63
IE;2017;98.89
IE;2018;101.26
IE;2019;100.44
IE;2020;100.26
IE;2021;100.82
IE;2022;110.39
IT;2013;102.55
IT;2014;109.2
IT;2015;115.04
IT;2016;119.02
IT;2017;118.65
IT;2018;127.06
IT;2019;117.72
IT;2020;121.57
IT;2021;125.31
IT;2022;129.39
LV;2013;80.06
LV;2014;81.25
LV;2015;87.35
LV;2016;95.8
LV;2017;99.44
LV;2018;97.75
LV;2019;97.8
LV;2020;97.15
LV;2021;102.07
LV;2022;105.37
LT;2013;66.24
LT;2014;71.09
LT;2015;73.13
LT;2016;78.46
LT;2017;85.48
LT;2018;81.73
LT;2019;87.79
LT;2020;92.77
LT;2021;98.48
LT;2022;103.75
LU;2013;150.74
LU;2014;164.79
LU;2015;174.95
LU;2016;173.33
LU;2017;162.91
LU;2018;171.95
LU;2019;175.5
LU;2020;174.72
LU;2021;173.05
LU;2022;179.02
MT;2013;51.58
MT;2014;50.77
MT;2015;57.81
MT;2016;60.06
MT;2017;68.55
MT;2018;93.54
MT;2019;79.84
MT;2020;79.22
MT;2021;78.79
MT;2022;79.76
NL;2013;95.1
NL;2014;100.04
NL;2015;102.99
NL;2016;103.14
NL;2017;104.34
NL;2018;109.65
NL;2019;112.29
NL;2020;118.23
NL;2021;116.03
NL;2022;118.78
PL;2013;46.45
PL;2014;49.34
PL;2015;51.07
PL;2016;55.25
PL;2017;56.52
PL;2018;59.07
PL;2019;60.98
PL;2020;60.49
PL;2021;63.88
PL;2022;67.37
PT;2013;82.18
PT;2014;84.66
PT;2015;89.07
PT;2016;90.86
PT;2017;92.75
PT;2018;97.27
PT;2019;98.43
PT;2020;98.31
PT;2021;104.57
PT;2022;105.69
RO;2013;86.16
RO;2014;87.58
RO;2015;88.27
RO;2016;91.36
RO;2017;87.39
RO;2018;83.95
RO;2019;77.61
RO;2020;80.5
RO;2021;81.49
RO;2022;84.59
SK;2013;68.13
SK;2014;74.14
SK;2015;77.34
SK;2016;82.04
SK;2017;87.24
SK;2018;85.59
SK;2019;79.08
SK;2020;85.48
SK;2021;88.05
SK;2022;94.41
SI;2013;89.74
SI;2014;91.86
SI;2015;95.82
SI;2016;94.25
SI;2017;98.29
SI;2018;97.02
SI;2019;100.39
SI;2020;106.81
SI;2021;111.03
SI;2022;115.86
ES;2013;104.47
ES;2014;106.29
ES;2015;105.62
ES;2016;104.55
ES;2017;105.04
ES;2018;107.65
ES;2019;106.56
ES;2020;108.56
ES;2021;112.88
ES;2022;116.43
SE;2013;152.99
SE;2014;157.9
SE;2015;156.95
SE;2016;159.94
SE;2017;161.08
SE;2018;163.96
SE;2019;168.19
SE;2020;163.91
SE;2021;157.59
SE;2022;160.95
