Country_ID,algorithm,cv_mae,model_path,n
LI,random_forest,4.786555555555549,models/LI_random_forest.joblib,44
MT,ridge,5.460310272072334,models/MT_ridge.joblib,44
IS,ridge,13.277853047969158,models/IS_ridge.joblib,44
EE,random_forest,23.55202777777775,models/EE_random_forest.joblib,44
CY,random_forest,36.00880321067819,models/CY_random_forest.joblib,44
LV,ridge,59.88321697568989,models/LV_ridge.joblib,44
NO,ridge,80.62181846289741,models/NO_ridge.joblib,44
SK,random_forest,81.31753787878789,models/SK_random_forest.joblib,44
IE,random_forest,109.05227272727272,models/IE_random_forest.joblib,44
SE,random_forest,131.1713333333333,models/SE_random_forest.joblib,44
FI,random_forest,140.2457277318641,models/FI_random_forest.joblib,44
LT,random_forest,158.02608585858587,models/LT_random_forest.joblib,44
BG,random_forest,181.6966515151515,models/BG_random_forest.joblib,44
HR,random_forest,191.867803030303,models/HR_random_forest.joblib,44
AT,ridge,215.42425810908037,models/AT_ridge.joblib,44
CZ,ridge,247.96531002701715,models/CZ_ridge.joblib,44
CH,ridge,248.759683832043,models/CH_ridge.joblib,44
LU,random_forest,258.823069534632,models/LU_random_forest.joblib,44
RO,ridge,360.2137138254362,models/RO_ridge.joblib,44
PT,ridge,360.2484189004603,models/PT_ridge.joblib,44
DK,ridge,555.9384839093783,models/DK_ridge.joblib,44
BE,random_forest,616.9588914141415,models/BE_random_forest.joblib,44
NL,random_forest,665.9454924242427,models/NL_random_forest.joblib,44
PL,ridge,674.6124449843128,models/PL_ridge.joblib,44
HU,random_forest,676.2192929292928,models/HU_random_forest.joblib,44
SI,random_forest,676.2611287878791,models/SI_random_forest.joblib,44
EL,random_forest,994.7223106060605,models/EL_random_forest.joblib,44
DE,ridge,1233.1718307576764,models/DE_ridge.joblib,44
FR,ridge,1639.1821975677015,models/FR_ridge.joblib,44
ES,ridge,1950.8204354612233,models/ES_ridge.joblib,44
TR,ridge,2150.747509421663,models/TR_ridge.joblib,44
IT,ridge,4476.100120469647,models/IT_ridge.joblib,44
